surname	results	source
Балова	18	Wikipedia Russia
Балушкин	43	Wikipedia Russia
Балушкина	1	Wikipedia Russia
Балыбина	3	Wikipedia Russia
Балыкин	34	Wikipedia Russia
Балясников	68	Wikipedia Russia
Бангерт	8	Wikipedia Russia
Бандман	4	Wikipedia Russia
Бандор	1	Wikipedia Russia
Бандуренко	4	Wikipedia Russia
Баннаш	2	Wikipedia Russia
Банцекина	2	Wikipedia Russia
Банщикова	49	Wikipedia Russia
Барадиев	2	Wikipedia Russia
Бараксанов	3	Wikipedia Russia
Бараксанова	4	Wikipedia Russia
Баранкевич	23	Wikipedia Russia
Баранюк	52	Wikipedia Russia
Барбар	472	Wikipedia Russia
Барбат	501	Wikipedia Russia
Барбашова	26	Wikipedia Russia
Баргачан	2	Wikipedia Russia
Бардан	85	Wikipedia Russia
Бардаханова	2	Wikipedia Russia
Бардилева	3	Wikipedia Russia
Бардышев	29	Wikipedia Russia
Баркалов	76	Wikipedia Russia
Барляева	2	Wikipedia Russia
Бармина	106	Wikipedia Russia
Бармич	6	Wikipedia Russia
Барры	26	Wikipedia Russia
Барсонов	1	Wikipedia Russia
Бартл	32	Wikipedia Russia
Барченко-Емельянов	8	Wikipedia Russia
Барымов	2	Wikipedia Russia
Барышевская	18	Wikipedia Russia
Басаева	201	Wikipedia Russia
Басалаев	23	Wikipedia Russia
Басарукин	1	Wikipedia Russia
Басилов	69	Wikipedia Russia
Бассин	16	Wikipedia Russia
Батори	208	Wikipedia Russia
Батырбаева	1	Wikipedia Russia
Баулин	108	Wikipedia Russia
Баумлер	6	Wikipedia Russia
Бахманн	136	Wikipedia Russia
Бахмин	48	Wikipedia Russia
Бахревский	26	Wikipedia Russia
Бахтуров	7	Wikipedia Russia
Бацалев	4	Wikipedia Russia
Бацких	2	Wikipedia Russia
Бачманн	2	Wikipedia Russia
Башканова	2	Wikipedia Russia
Башкатова	28	Wikipedia Russia
Башлыков	55	Wikipedia Russia
Бащенко	17	Wikipedia Russia
Баэр	121	Wikipedia Russia
Баянова	53	Wikipedia Russia
Бгатов	1	Wikipedia Russia
Бебриш	1	Wikipedia Russia
Беглянова	8	Wikipedia Russia
Бегун	1191	Wikipedia Russia
Беер	293	Wikipedia Russia
